model,quant,constrained,ngl,fits_8gb,gguf_gb,peak_vram_mib,load_s,t1_n,t1_acc,t1_acc_simple,t1_acc_multiple,t2_n,t2_success,t2_answer_ok,t2_recovery,t2_mean_steps,t2_err_volume_mean,t2_err_volume_total,t2_success_budget2,t2_success_budget1,t2_success_budget0,decode_tps_median,decode_tps_iqr,ttft_ms_median,schema_fallbacks,t1_invalid-output,t2_step_invalid-output,t2_primary_invalid-output,t1_wrong-tool,t2_step_wrong-tool,t2_primary_wrong-tool,t1_bad-args,t2_step_bad-args,t2_primary_bad-args,t1_loop,t2_step_loop,t2_primary_loop,t1_premature-stop,t2_step_premature-stop,t2_primary_premature-stop,t1_server-error,t2_step_server-error,t2_primary_server-error
qwen3-1.7b,bf16,0,99,1,4.07,4402,4.7,100,0.89,0.9,0.88,40,0.35,0.3,0.6,5.9,1.45,58,0.35,0.35,0.3,72.89,2.15,41.9,0,0,0,0,1,0,0,10,46,0,0,12,8,0,0,18,0,0,0
qwen3-1.7b,bf16,1,99,1,4.07,4402,4.7,100,0.88,0.88,0.88,40,0.35,0.3,0.6471,6.2,1.15,46,0.35,0.35,0.35,72.83,1.68,34.3,0,0,0,0,1,0,0,11,32,0,0,14,6,0,0,20,0,0,0
qwen3-1.7b,Q8_0,0,99,1,2.17,2798,3.0,100,0.89,0.9,0.88,40,0.425,0.375,0.8571,5.8,1.12,45,0.425,0.425,0.375,115.59,5.65,34.0,0,0,0,0,0,0,0,11,27,0,0,18,5,0,0,18,0,0,0
qwen3-1.7b,Q8_0,1,99,1,2.17,2798,3.0,100,0.88,0.88,0.88,40,0.45,0.4,0.8667,6.1,0.95,38,0.45,0.45,0.45,113.58,4.83,28.7,0,0,0,0,0,0,0,12,18,0,0,20,4,0,0,18,0,0,0
qwen3-1.7b,Q4_K_M,0,99,1,1.28,2106,3.1,100,0.88,0.9,0.86,40,0.45,0.45,0.8125,6.6,1.48,59,0.45,0.4,0.35,135.06,7.52,34.3,0,0,26,0,1,0,0,11,25,0,0,8,7,0,0,15,0,0,0
qwen3-1.7b,Q4_K_M,1,99,1,1.28,2106,3.1,100,0.87,0.88,0.86,40,0.45,0.45,0.7647,6.65,1.35,54,0.45,0.4,0.4,131.19,8.65,30.1,0,0,0,0,1,0,0,12,46,0,0,8,6,0,0,16,0,0,0
qwen3-1.7b,Q3_K_M,0,99,1,1.07,1948,2.6,100,0.86,0.88,0.84,40,0.2,0.175,0.6,6.47,1.93,77,0.2,0.2,0.175,125.75,6.65,37.3,0,0,15,0,0,0,0,14,55,0,0,7,12,0,0,20,0,0,0
qwen3-1.7b,Q3_K_M,1,99,1,1.07,1948,2.6,100,0.86,0.88,0.84,40,0.3,0.25,0.6111,6.55,1.55,62,0.3,0.25,0.25,125.2,7.3,31.3,0,0,0,0,0,0,0,14,50,0,0,12,10,0,0,18,0,0,0
qwen3-4b,bf16,0,99,1,8.05,7822,12.3,100,0.9,0.92,0.88,40,0.775,0.625,0.8919,6.38,0.4,16,0.775,0.775,0.775,5.91,2.68,895.2,0,0,0,0,0,0,0,10,14,0,0,2,2,0,0,7,0,0,0
qwen3-4b,bf16,1,99,1,8.05,7822,12.3,100,0.9,0.92,0.88,40,0.775,0.625,0.8919,6.4,0.42,17,0.775,0.775,0.775,5.89,2.67,892.1,0,0,0,0,0,0,0,10,15,0,0,2,2,0,0,7,0,0,0
qwen3-4b,Q8_0,0,99,1,4.28,5414,7.8,100,0.9,0.92,0.88,40,0.775,0.575,0.8947,6.55,0.5,20,0.775,0.775,0.775,57.84,1.36,41.0,0,0,0,0,0,2,0,10,18,0,0,0,2,0,0,7,0,0,0
qwen3-4b,Q8_0,1,99,1,4.28,5414,7.8,100,0.9,0.92,0.88,40,0.775,0.575,0.8947,6.55,0.5,20,0.775,0.775,0.775,57.68,1.61,40.2,0,0,0,0,0,2,0,10,18,0,0,0,2,0,0,7,0,0,0
qwen3-4b,Q4_K_M,0,99,1,2.5,3714,4.1,100,0.89,0.9,0.88,40,0.7,0.6,0.8947,6.67,0.68,27,0.65,0.65,0.6,68.12,3.25,41.7,0,0,0,0,0,0,0,11,24,0,0,3,2,0,0,10,0,0,0
qwen3-4b,Q4_K_M,1,99,1,2.5,3714,4.1,100,0.89,0.9,0.88,40,0.7,0.6,0.8947,6.67,0.68,27,0.65,0.65,0.6,67.75,3.56,40.9,0,0,0,0,0,0,0,11,24,0,0,3,2,0,0,10,0,0,0
qwen3-4b,Q3_K_M,0,99,1,2.08,3312,3.6,100,0.89,0.9,0.88,40,0.775,0.675,0.9,7.03,0.88,35,0.75,0.65,0.65,63.0,2.48,42.5,0,0,0,0,0,4,0,11,25,0,0,6,2,0,0,7,0,0,0
qwen3-4b,Q3_K_M,1,99,1,2.08,3312,3.6,100,0.89,0.9,0.88,40,0.775,0.675,0.9,7.03,0.88,35,0.75,0.65,0.65,62.37,2.57,42.7,0,0,0,0,0,4,0,11,25,0,0,6,2,0,0,7,0,0,0
llama-3.1-8b,Q8_0,0,99,1,8.54,7818,11.8,100,0.88,0.9,0.86,40,0.45,0.3,0.875,7.9,2.7,108,0.4,0.4,0.3,8.09,4.53,846.0,0,0,18,0,0,18,0,12,32,0,0,40,14,0,0,8,0,0,0
llama-3.1-8b,Q8_0,1,99,1,8.54,7818,11.8,100,0.89,0.92,0.86,40,0.45,0.3,0.875,8.1,2.95,118,0.4,0.4,0.3,8.08,3.12,847.6,0,0,0,0,0,20,0,11,36,0,0,62,16,0,0,6,0,0,0
llama-3.1-8b,Q4_K_M,0,99,1,4.92,5648,6.6,100,0.88,0.9,0.86,40,0.575,0.45,0.9143,7.6,1.88,75,0.55,0.5,0.4,46.9,2.31,60.4,0,0,21,0,0,8,0,12,19,0,0,27,9,0,0,8,0,0,0
llama-3.1-8b,Q4_K_M,1,99,1,4.92,5648,6.6,100,0.89,0.92,0.86,40,0.575,0.45,0.9412,7.7,2.02,81,0.55,0.5,0.4,45.3,3.05,61.2,0,0,0,0,0,20,0,11,23,0,0,38,10,0,0,7,0,0,0
llama-3.1-8b,Q3_K_M,0,99,1,4.02,4901,6.6,100,0.86,0.88,0.84,40,0.7,0.6,0.9697,7.62,1.9,76,0.65,0.6,0.55,44.34,1.06,62.5,0,1,24,0,1,2,0,12,35,0,0,15,10,0,0,2,0,0,0
llama-3.1-8b,Q3_K_M,1,99,1,4.02,4901,6.6,100,0.89,0.92,0.86,40,0.7,0.6,0.9143,7.58,1.77,71,0.65,0.65,0.55,43.85,1.3,61.9,0,0,0,0,1,16,0,10,32,0,0,23,9,0,0,3,0,0,0
